status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10158216399276509,"President Trump throws out his prepared remarks in West Virginia and says, ""To hell with it. That would have been a little boring"" https://cnn.it/2uPkfcn",Trump throws out prepared remarks,video,https://www.facebook.com/cnn/videos/10158216399276509/,https://www.facebook.com/cnn/videos/10158216399276509/,2018-04-06 00:31:39,83,55,16,24,7,3,36,1,12
5550296508_10158216344161509,"Some of the report's findings:
- 243 people have reported Nassar to MSU since 2014
- MSU ""failed to properly investigate"" a 2014 complaint
- Nassar grew more comfortable with abuse over time","MSU more focused on protecting itself than Nassar victims, report says",link,https://cnn.it/2Jm2bKg,https://www.facebook.com/cnn/posts/10158216344161509,2018-04-06 00:01:04,222,19,42,100,3,8,0,13,98
5550296508_10158216297866509,"A day after White House press secretary Sarah Sanders railed against him, Democratic Rep. Ruben Gallego of Arizona called President Donald J. Trump's approach to the border ""stupid"" and accused him of deploying the National Guard as a ""political ploy.""",Arizona Democrat: I'll work with Trump 'when his ideas aren't stupid',link,https://cnn.it/2Eopq2n,https://www.facebook.com/cnn/posts/10158216297866509,2018-04-05 23:31:04,1548,170,213,1061,175,10,291,3,8
5550296508_10158216250056509,"Donald Trump Jr. and Eric Trump are traveling to Dubai to attend a wedding for an Arab business magnate and business partner for the Trump Organization, sources say.",Eldest Trump sons jet to Dubai for lavish wedding,link,https://cnn.it/2GyPWMu,https://www.facebook.com/cnn/posts/10158216250056509,2018-04-05 23:01:01,720,423,210,240,10,33,68,9,360
5550296508_10158216191826509,"""I'll say no"" if asked, Oregon Gov. Kate Brown says. ""As Commander of Oregon's Guard, I'm deeply troubled by Trump's plan to militarize our border.""",Oregon's governor won't send National Guard to border,link,https://cnn.it/2Ens0WJ,https://www.facebook.com/cnn/posts/10158216191826509,2018-04-05 22:30:09,2976,308,262,2340,418,22,136,8,52
5550296508_10158216126031509,"President Donald J. Trump continued to claim millions of people voted illegally in the 2016 election, despite failing to produce evidence to support his repeated assertion.",Trump repeats debunked voter fraud claim,link,https://cnn.it/2uVvArg,https://www.facebook.com/cnn/posts/10158216126031509,2018-04-05 22:01:03,1731,764,293,443,17,34,504,32,701
5550296508_10158216066791509,"""We knew sooner or later he was going to crack."" Porn star Stormy Daniels' lawyer reacts to President Trump saying he did not know about Trump lawyer Michael Cohen's payment to Daniels, breaking the President's silence on the controversy. https://cnn.it/2GDbWG4",Stormy Daniels' lawyer on Trump's remarks,video,https://www.facebook.com/cnn/videos/10158216066791509/,https://www.facebook.com/cnn/videos/10158216066791509/,2018-04-05 21:32:03,1876,568,345,1035,87,44,698,4,9
5550296508_10158216003056509,"""Donald Trump has a staff infection,"" Democratic Rep. Jamie Raskin says of the controversy over EPA chief Scott Pruitt. ""This is just an ethical sewer. ... The only wetland that the EPA chief has been protecting is the ethical swamp in Washington"" https://cnn.it/2GAUr9r",,video,https://www.facebook.com/cnn/videos/10158216003056509/,https://www.facebook.com/cnn/videos/10158216003056509/,2018-04-05 21:02:50,996,152,176,663,49,17,236,15,16
5550296508_10158215962946509,Yet again we must ask -- does Trump have no shame? Is there no end to his malignant opportunism? Patricia Fernández-Kelly asks via CNN Opinion,Trump's sending troops to the border to take on 200 kids and parents,link,https://cnn.it/2ElG9DG,https://www.facebook.com/cnn/posts/10158215962946509,2018-04-05 20:45:03,1600,701,260,558,45,50,96,209,643
5550296508_10158215912436509,"On November 8, 1960, Democrat John F. Kennedy beat the incumbent Republican Vice President, Richard Nixon, becoming the 35th President of the United States https://cnn.it/2Jofkm2",The night JFK beat Nixon,video,https://www.facebook.com/cnn/videos/10158215912436509/,https://www.facebook.com/cnn/videos/10158215912436509/,2018-04-05 20:16:04,503,49,84,432,64,5,2,0,0
